,WAVELENGTH(nm),AM 1.5G,EQE(%),Energy(eV),PF,EQE*PF(mA/cm²),Integrated Jsc(mA/cm²),Jsc(mA/cm²)
213,413.0,1.1971,19.002005734,3.002421307506053,0.39871153225806455,0.007576318822179669,0.3015108963803912,
214,414.0,1.1842,19.031017452,2.995169082125604,0.39537,0.00752429336999724,0.30906120247647967,
215,415.0,1.2258,19.06002917,2.9879518072289155,0.4102475806451613,0.007819330854018702,0.3167330145884876,
216,416.0,1.2624,19.062398628,2.980769230769231,0.4235148387096774,0.008073208680356995,0.3246792843556755,
217,417.0,1.2312,19.064768086,2.973621103117506,0.4140406451612903,0.007893588878177819,0.3326626831349429,
218,418.0,1.1777,19.067137543999998,2.9665071770334928,0.39699887096774195,0.007569632077554643,0.34039429361280915,
219,419.0,1.2258,19.069507001999998,2.9594272076372317,0.41420177419354837,0.007898623633224694,0.34812842146819883,
220,420.0,1.1232,19.07187646,2.9523809523809526,0.38043870967741933,0.007255680071569548,0.35570557332059594,
221,421.0,1.2757,19.055804062,2.9453681710213777,0.4331207258064516,0.008253463686158969,0.3634601451994602,
222,422.0,1.2583,19.039731663999998,2.938388625592417,0.42822790322580645,0.008153344368456715,0.37166354922676803,
223,423.0,1.2184,19.023659266,2.9314420803782504,0.4156316129032258,0.007906834184048977,0.3796936385030209,
224,424.0,1.2117,19.007586867999997,2.9245283018867925,0.4143232258064516,0.007875284705946107,0.3875846979480184,
225,425.0,1.2488,18.99151447,2.9176470588235293,0.42801612903225805,0.008128674507909515,0.39558667755494625,
226,426.0,1.2135,18.900972315999997,2.9107981220657275,0.4168959677419355,0.00787973914494235,0.4035908843813722,
227,427.0,1.1724,18.810430162,2.9039812646370025,0.40372161290322583,0.007594177204406128,0.41132784255604643,
228,428.0,1.1839,18.719888007999998,2.897196261682243,0.4086364516129032,0.007649628610180058,0.4189497454633395,
229,429.0,1.0963,18.629345854,2.8904428904428903,0.37928443548387103,0.007065820925668183,0.42630747023126364,
230,430.0,0.8746200000000001,18.5388037,2.883720930232558,0.3032956451612904,0.005622738428710017,0.43265174990845273,
231,431.0,0.79394,18.3983498,2.8770301624129933,0.2759581774193548,0.0050771750783317506,0.43800170666197363,
232,432.0,1.3207,18.257895899999998,2.8703703703703702,0.46011483870967745,0.00840072882720658,0.4447406586147428,
233,433.0,1.2288,18.117442,2.863741339491917,0.4290890322580645,0.007773995654771613,0.4528280208557319,
234,434.0,1.1352,17.9769881,2.857142857142857,0.39732,0.007142616911892,0.46028632713906376,
